name,ra,dec,alias
C1,11.875005,85.258333,15, 8.1,NGC188/Polarissma Cluster
C2,3.25416,72.5225,1.23,12.3,NGC40/Bow Tie Nebula
C3,184.18041,69.463611,21.9,9.6,NGC4236
C4,315.39792,68.169444,10,,NGC7023/Iris Nebula
C5,56.700000,68.100000,21.4,8.4,IC342/Hidden Galaxy
C6,269.63916,66.633611,0.33,8.1,NGC6543//Cat's Eye Nebula
C7,114.21084,65.601667,23.4,8.5,NGC2403
C8,22.37916,63.301667,7,9.5,NGC559
C9,344.200000,62.616667,,,Sh2-155/Cave Nebula
C10,26.570835,61.218333,15,7.1,NGC663
C11,350.187495,61.211667,15,,NGC7635/Sh2-162/Bubble Nebula
C12,308.717085,60.153333,11.5,8.8,NGC6946
C13,19.887495,58.295,20,6.4,NGC457
C14,35.000000,57.133333,,,NGC869/NGC884
C15,296.20083,50.525556,0.6,8.8,NGC6826
C16,333.785415,49.8975,30,6.4,NGC7243
C17,8.29875,48.507222,13.2,9.5,NGC147
C18,9.739995,48.337222,8,9.2,NGC185
C19,328.375000,47.266667,10,,IC5146/Sh2-125
C20,314.824995,44.516667,120,5,NGC7000/Sh2-117
C21,187.04709,44.095,6.2,9.6,NGC4449
C22,351.474585,42.535556,0.62,8.3,NGC7662
C23,35.637495,42.347222,11.7,9.9,NGC891
C24,49.95042,41.511389,2.3,11.9,NGC1275
C25,114.53541,38.8825,4.6,10.3,NGC2419
C26,184.374585,37.807778,16.6,10.4,NGC4244
C27,3303.02709,38.355,18,,NGC6888/Sh2-105
C28,29.39583,37.833333,75,5.7,NGC752
C29,197.73375,37.058611,5.8,9.8,NGC5005
C30,339.271245,34.420278,10.2,9.5,NGC7331
C31,79.122495,34.356111,30,,IC405/Sh2-229 # Got to here
C32,190.525000,32.533333,NGC4631
C33,314.100000,31.716667,NGC6992
C34,311.425000,30.716667,NGC6960
C35,195.025000,27.983333,NGC4889
C36,189.000000,27.966667,NGC4559
C37,303.000000,26.483333,NGC6885
C38,189.075000,25.983333,NGC4565
C39,112.300000,20.916667,NGC2392
C40,170.025000,18.350000,NGC3626
C41,66.750000,16.000000,Mel25/Hyades
C42,315.375000,16.183333,NGC7006
C43,0.825000,16.150000,NGC7814
C44,346.225000,12.316667,NGC7479
C45,204.375000,8.883333,NGC5248
C46,99.800000,8.733333,NGC2261
C47,308.550000,7.400000,NGC6934
C48,137.575000,7.033333,NGC2775
C49,98.075000,5.050000,NGC2237/Sh2-275
C50,98.100000,4.866667,NGC2244
C51,16.200000,2.116667,IC1613
C52,192.150000,-5.800000,NGC4697
C53,151.300000,-7.716667,NGC3115
C54,120.050000,-10.783333,NGC2506
C55,316.050000,-11.366667,NGC7009
C56,11.750000,-11.883333,NGC246
C57,296.225000,-14.800000,NGC6822
C58,109.450000,-15.616667,NGC2360
C59,156.200000,-18.633333,NGC3242
C60,180.475000,-18.866667,NGC4038
C61,180.475000,-18.883333,NGC4039
C62,11.775000,-20.766667,NGC247
C63,337.400000,-20.800000,NGC7293
C64,109.700000,-24.950000,NGC2362
C65,11.900000,-25.283333,NGC253
C66,219.900000,-26.533333,NGC5694
C67,41.575000,-30.283333,NGC1097
C68,285.475000,-36.950000,NGC6729
C69,258.425000,-37.100000,NGC6302
C70,13.725000,-37.683333,NGC300
C71,118.075000,-38.550000,NGC2477
C72,3.725000,-39.183333,NGC55
C73,78.525000,-40.050000,NGC1851
C74,151.925000,-40.433333,NGC3132
C75,246.400000,-40.666667,NGC6124
C76,253.500000,-41.800000,NGC6231
C77,201.375000,-43.016667,NGC5128
C78,272.000000,-43.700000,NGC6541
C79,154.400000,-46.416667,NGC3201
C80,201.700000,-47.483333,NGC5139
C81,261.375000,-48.416667,NGC6351
C82,250.325000,-48.766667,NGC6193
C83,196.350000,-49.466667,NGC4945
C84,206.600000,-51.366667,NGC5286
C85,130.050000,-53.066667,IC2391
C86,265.175000,-53.666667,NGC6397
C87,48.075000,-55.216667,NGC1261
C88,226.425000,-55.600000,NGC5823
C89,244.725000,-57.900000,NGC6087
C90,140.350000,-58.316667,NGC2867
C91,166.600000,-58.666667,NGC3532
C92,160.950000,-59.866667,NGC3372
C93,287.725000,-59.983333,NGC6752
C94,193.400000,-60.333333,NGC4755
C95,240.925000,-60.500000,NGC6025
C96,119.575000,-60.866667,NGC2516
C97,174.025000,-61.616667,NGC3766
C98,190.575000,-62.966667,NGC4609
C99,193.250000,-63.000000,
C100,174.150000,-63.033333,IC2944/Sh2-8
C101,287.450000,-63.850000,NGC6744
C102,160.800000,-64.400000,IC2602
C103,84.675000,-69.100000,NGC2070
C104,15.800000,-70.850000,NGC362
C105,194.900000,-70.883333,NGC4833
C106,6.025000,-72.083333,NGC104
C107,246.450000,-72.200000,NGC6101
C108,186.450000,-72.666667,NGC4372
C109,152.375000,-80.866667,NGC3195
